갱신청구권사용여부,단지명,법정동,보증금액,건축년도,월세금,전용면적,지번,지역코드,층,해제여부,해제사유발생일,년,월,일
,래미안,대치동,"4,426",1997,223,89.26,910,11680,9,,,2024,1,7
,강남_1차_아파트,청담동,"1,693",1996,215,84.66,759,11680,14,,,2024,1,28
O,강남_7차_아파트,대치동,"139,172",1985,0,118.74,596,11680,45,,,2024,1,23
O,아이파크,대치동,"149,980",2000,0,56.03,937,11680,24,,,2024,2,8
,강남_2차_아파트,역삼동,"4,803",2014,84,125.64,669,11680,25,,,2024,3,15
,아이파크,압구정동,"143,124",1982,0,79.73,252,11680,39,,,2024,2,24
,강남_6차_아파트,압구정동,"2,046",2024,93,104.85,343,11680,6,,,2024,3,6
X,아이파크,압구정동,"101,504",1991,0,92.77,105,11680,11,,,2024,1,11
,타워팰리스,청담동,"91,769",1993,0,76.63,346,11680,22,,,2024,1,2
X,강남_2차_아파트,압구정동,"113,448",1985,0,110.09,977,11680,34,,,2024,3,6
,강남_8차_아파트,청담동,"30,458",2007,0,111.15,470,11680,20,,,2024,2,6
X,강남_2차_아파트,청담동,"4,853",1994,55,94.43,348,11680,12,,,2024,2,1
X,강남_2차_아파트,삼성동,"76,691",2002,0,136.27,845,11680,35,,,2024,2,4
X,래미안,압구정동,"3,623",2003,129,66.95,310,11680,44,,,2024,1,15
,강남_2차_아파트,삼성동,"1,307",2002,134,138.78,530,11680,5,,,2024,2,18
,타워팰리스,대치동,"116,612",1997,0,55.98,621,11680,26,,,2024,2,18
X,아이파크,역삼동,"105,772",1985,0,98.76,491,11680,19,O,20240108,2024,1,8
O,아이파크,삼성동,"65,110",2017,0,94.5,513,11680,19,,,2024,1,9
X,아이파크,역삼동,"35,406",2023,0,104.05,200,11680,24,,,2024,3,25
X,강남_3차_아파트,역삼동,"107,493",1982,0,72.57,899,11680,29,,,2024,3,17
,아이파크,대치동,"3,934",2011,219,107.02,824,11680,14,,,2024,2,11
O,강남_2차_아파트,압구정동,"35,772",2024,0,132.38,310,11680,13,,,2024,1,26
X,강남_5차_아파트,삼성동,"125,699",2020,0,119.67,320,11680,22,,,2024,1,6
O,강남_6차_아파트,압구정동,"81,306",2007,0,121.42,532,11680,7,,,2024,1,28
,강남_6차_아파트,청담동,"101,402",1989,0,122.92,341,11680,23,,,2024,3,22
,강남_8차_아파트,청담동,"147,839",1990,0,126.45,208,11680,5,,,2024,1,2
,강남_2차_아파트,삼성동,"35,397",1999,0,88.67,926,11680,3,,,2024,3,3
X,강남_1차_아파트,압구정동,"103,208",2011,0,62.67,108,11680,35,,,2024,1,21
O,강남_9차_아파트,압구정동,"65,649",2017,0,128.4,386,11680,24,,,2024,1,22
,강남_4차_아파트,삼성동,"1,413",1981,61,90.71,762,11680,21,,,2024,3,26
,강남_8차_아파트,청담동,"4,500",1985,190,124.79,277,11680,2,,,2024,3,23
O,강남_9차_아파트,대치동,"53,297",1987,0,54.24,765,11680,36,,,2024,1,18
,강남_3차_아파트,대치동,"149,008",1983,0,106.22,773,11680,33,,,2024,3,11
O,강남_7차_아파트,압구정동,"93,416",1993,0,98.56,690,11680,12,,,2024,2,25
,강남_4차_아파트,삼성동,"3,295",2017,159,69.9,194,11680,30,,,2024,2,14
,강남_3차_아파트,삼성동,"3,537",1995,135,67.55,157,11680,31,,,2024,1,8
,강남_8차_아파트,삼성동,"3,921",1980,57,109.06,804,11680,42,,,2024,2,12
,강남_3차_아파트,대치동,"122,690",2012,0,137.76,156,11680,8,,,2024,2,17
,강남_1차_아파트,역삼동,"4,272",1999,81,130.36,762,11680,38,,,2024,2,14
O,래미안,삼성동,"90,590",2002,0,85.77,946,11680,3,,,2024,2,10
O,강남_4차_아파트,압구정동,"3,146",2007,141,95.01,576,11680,3,,,2024,3,4
X,강남_3차_아파트,역삼동,"46,928",1981,0,127.21,308,11680,28,,,2024,1,2
X,강남_1차_아파트,청담동,"99,871",1988,0,66.02,113,11680,18,,,2024,2,3
O,강남_7차_아파트,대치동,"61,632",1997,0,137.06,430,11680,2,,,2024,2,27
O,강남_4차_아파트,대치동,"90,303",2012,0,77.75,931,11680,11,,,2024,1,28
O,강남_9차_아파트,삼성동,"1,796",2022,112,142.43,311,11680,30,,,2024,3,13
X,강남_6차_아파트,압구정동,"76,079",1985,0,120.91,589,11680,23,,,2024,1,26
,강남_5차_아파트,역삼동,"105,809",1987,0,95.87,365,11680,1,,,2024,1,14
